dataset,keras_parallel_3_Dilated_Conv_pooling,keras_parallel_3_Dilated_Conv,keras_3_Dilated_Conv,sklearn_MLPClassifier,sklearn_Perceptron,sklearn_SGDClassifier,sklearn_BernoulliNB,sklearn_PassiveAggressiveClassifier,MOA_MajorityClass,MOA_RandomHoeffdingTree,MOA_NaiveBayes,MOA_SPegasos,MOA_OzaBagAdwin,MOA_OzaBoost,MOA_OzaBag,MOA_OCBoost,MOA_SingleClassifierDrift,MOA_WeightedMajorityAlgorithm,MOA_OzaBoostAdwin,MOA_Perceptron,MOA_HoeffdingAdaptiveTree,MOA_HoeffdingOptionTree,MOA_LeveragingBag,MOA_DecisionStump,MOA_OzaBagASHT,MOA_SGD,MOA_AdaHoeffdingOptionTree,MOA_ASHoeffdingTree,MOA_ActiveClassifier,MOA_HoeffdingTree
Phoneme,8.448224782943727,7.5512757301330575,390.2633979320526,1.0360867977142334,1.3944981098175049,1.4584598541259766,0.8246364593505859,1.3954880237579346,0.0007613889999999999,0.31196840400000003,0.237884097,0.005761056999999999,46.598696541,36.770654213,49.859242667,74.378219205,6.401171558000001,24.055473701,43.771080457,0.000788045,6.865446522,6.609038909999999,109.945568604,0.232741945,46.648725012,0.0007707460000000001,6.657922983000001,6.535609042000001,0.278745585,6.616403299
ProximalPhalanxOutlineCorrect,2.456477642059326,2.249974250793457,17.281139373779293,0.0580441951751709,0.015529870986938475,0.014521598815917969,0.025365591049194336,0.01405477523803711,9.432e-05,0.002060566,0.001282054,0.000318231,0.166306441,0.19083895899999997,0.164237066,0.24675984400000006,0.008359805,0.06595447,0.344705513,0.000133819,0.017290545,0.014458047000000003,0.51106958,0.0011296390000000002,0.17438521599999998,0.0005275669999999999,0.01524819,0.015570969999999996,0.0008572689999999999,0.014629747
ShapesAll,3.4169931411743164,3.4779820442199707,107.29686284065248,0.40126395225524897,0.8943107128143309,0.8441441059112549,0.3281400203704834,0.7597112655639648,0.00031571500000000005,0.15877416700000002,0.054373215999999995,0.0017343410000000006,47.330091032,46.479461931,22.115436753,31.656602000000003,2.562559067,11.877238259,45.869164943,0.000336467,5.460520927,2.866324007,73.263012473,0.07485987499999999,37.263674985,0.000307025,2.894234794,3.0878985180000003,0.110965682,2.795753438
SonyAIBORobotSurface2,2.6355254650115967,2.533158779144287,16.976245164871216,0.0610649585723877,0.015861034393310547,0.015580892562866213,0.027485370635986328,0.014950513839721681,9.4244e-05,0.002016807,0.001028608,0.000242528,0.19397937899999998,0.138361295,0.13184690599999999,0.223131852,0.007101367,0.045599997,0.237299312,0.00013739,0.02437448,0.012825271999999999,0.343759562,0.001001375,0.177789637,0.000108223,0.012927828999999998,0.012594665,0.000809695,0.012295088
Strawberry,2.626966953277588,2.5893616676330566,42.8291392326355,0.08387064933776855,0.020030975341796875,0.0186612606048584,0.03195953369140625,0.018314599990844727,0.000146879,0.0045783690000000005,0.003859743000000001,0.000708324,0.6845283879999999,0.532812049,0.407173651,0.7298309650000001,0.026532454,0.18792624300000002,0.750302716,0.000262182,0.07973146499999999,0.043173731000000014,1.0831318960000005,0.0038605209999999996,0.5707880180000001,0.000176087,0.041190181000000006,0.044055005999999994,0.0031728620000000003,0.050049028
SwedishLeaf,2.919058084487915,2.944420337677002,31.266990184783936,0.08684372901916504,0.128767728805542,0.1287224292755127,0.04085707664489746,0.11746931076049805,0.000119092,0.016296162,0.003473641,0.000499461,2.4176445320000006,2.251135988,1.2324347399999998,2.759373285,0.106847322,0.5336216170000001,1.845312752,0.000183982,0.265909558,0.136679563,3.667289445,0.005740965,1.955460749,0.000157672,0.130957474,0.14153691599999998,0.008929168000000001,0.13998287399999998
Symbols,2.939048767089844,2.9264280796051025,69.88846755027771,0.34749770164489746,0.1586458683013916,0.14313077926635742,0.08803892135620117,0.12826299667358398,0.00019193,0.014740953000000001,0.008592213000000001,0.001220052,3.1670819640000003,2.44131873,1.628563252,3.4605568650000005,0.129594679,0.7276435269999998,2.204039941,0.000282027,0.33017867999999995,0.18420384599999995,4.990684404999999,0.010956485,2.6436268180000004,0.00023914400000000003,0.17514354299999998,0.185074147,0.013220462999999998,0.17213692900000002
TwoLeadECG,3.2238729000091557,2.945249080657959,24.07001280784607,0.07669425010681152,0.02018976211547852,0.019470691680908203,0.03399467468261719,0.018741369247436523,0.000105852,0.002597129,0.0020204660000000003,0.000345949,0.289938801,0.202309169,0.12525197400000002,0.27747859,0.010542566000000001,0.06693202000000001,0.30414965799999993,0.000205606,0.027330486000000005,0.016695114,0.428640654,0.0018066820000000002,0.20056738,0.00011975300000000003,0.018172489,0.017363525,0.001313017,0.02052161
TwoPatterns,13.101813554763794,13.461182117462158,160.8618712425232,0.389122486114502,0.2503416538238525,0.24488210678100586,0.16467523574829102,0.2291734218597412,0.000532963,0.022005777999999997,0.012630243000000001,0.002175456,2.8747978069999998,2.4036675769999998,1.262578914,2.406347775,0.127867389,0.6577232989999999,2.473815815,0.0008290699999999999,0.316012815,0.17464257900000002,5.210719978,0.016651443000000002,2.384066289,0.000674386,0.17265763,0.187307315,0.014301616000000001,0.173286369
UWaveGestureLibraryX,14.14766263961792,14.438453912734985,293.43662357330317,1.7917537689208984,0.7342960834503174,0.7196252346038818,0.3834772109985352,0.6469547748565674,0.005551724,0.064138181,0.037935018,0.004223907,12.822258195,11.587068079000002,5.1294339,14.686431452999999,0.6035764029999999,2.853001033,11.599478184,0.001171299,1.4071781559999998,0.759737055,22.907232638000004,0.046181442999999996,8.929166954,0.00094244,0.7532575079999999,0.7556124340000001,0.061781388,0.7341910899999999
UWaveGestureLibraryY,14.534892559051515,14.914965629577635,293.1269235610962,1.352266788482666,0.6396844387054443,0.6245067119598389,0.3249185085296631,0.5645320415496826,0.000916722,0.06825199600000001,0.043660742999999995,0.004296188,12.313755148,12.367842028,5.485198702000001,15.042322965999999,0.654404085,2.973323558,11.983466505,0.001132378,1.4127045310000002,0.763788465,22.595285815,0.045163279999999986,9.325389895,0.000951375,0.738933284,0.7594552440000001,0.06532035,0.7421084520000001
UWaveGestureLibraryZ,14.686371088027954,15.041242361068726,292.91992330551153,2.2822439670562744,0.7990612983703613,0.7828350067138672,0.4618461132049561,0.6804475784301758,0.000698743,0.06543027800000001,0.028695155,0.004256693,12.060121842000001,12.032305138000002,5.458234051,14.352721218,0.6074670040000001,2.897297271,11.574486701999998,0.0011059619999999998,1.3823221159999999,0.752565967,22.023607175,0.04643826,9.014546136,0.000955163,0.7335559979999999,0.7727710499999999,0.06310043400000001,0.7429231609999999
Wafer,19.618654727935787,22.4514102935791,265.93786907196045,0.6516735553741455,0.17969942092895508,0.17173337936401367,0.2749500274658203,0.1676034927368164,0.0013738829999999998,0.023224562,0.12656452,0.005070729,2.203032227,2.007675879,1.9573513480000002,3.944607625,0.142243844,0.76091624,3.591408733,0.002648508,0.27415741899999996,0.674215074,5.045333802,0.027401061,1.890162905,0.005292675,0.643148484,0.237166126,0.033841048,0.21016689600000002
WordSynonyms,2.4024524688720703,1.94932222366333,43.23233985900879,0.3864052295684815,0.37993359565734863,0.33611416816711426,0.09505701065063477,0.2810921669006348,0.00014731000000000002,0.034229438,0.007852142999999999,0.000782406,5.669339094000001,5.0922199720000005,2.570237624,7.306519141999999,0.2993253,1.473874303,5.978072202999999,0.00022447,0.7251309209999999,0.381018171,10.535004523,0.0066401690000000005,4.318724381999998,0.00019281100000000006,0.367692752,0.392714633,0.015074367000000003,0.387841722
Yoga,11.07232403755188,10.038042306900023,278.2698118686676,1.244905948638916,0.18035340309143064,0.15468573570251465,0.297358512878418,0.20412254333496094,0.0005242160000000001,0.020958916,0.024810422000000002,0.004028303,2.54104922,2.547870802,1.767191286,3.3814689430000002,0.15944565600000002,0.8529325209999999,3.1957769020000004,0.0008784719999999999,0.364490816,0.239898044,5.857139815,0.028699372000000008,2.164590254,0.0007551060000000001,0.230959752,0.233253045,0.017063314000000003,0.228954448
carnorm,,2.9400744438171387,16.12909460067749,0.1021742820739746,0.07324481010437013,0.07080674171447754,0.049808263778686516,0.06629252433776855,0.000123791,0.001596845,0.000387258,0.000171652,0.035095657,0.034922958999999996,0.016352548,0.047473753000000014,0.002536001,0.007838576000000002,0.08467276800000001,0.000162392,0.007588350999999998,0.002324712,0.065874816,0.00032606700000000003,0.02280187,0.000228045,0.0029003329999999997,0.002234446,0.009916442,0.0022750129999999998
